x y 
0.000000 1.362889 
1.000000 1.055530 
2.000000 0.817084 
3.000000 0.624701 
4.000000 0.543591 
5.000000 0.391199 
6.000000 0.357215 
7.000000 0.252044 
8.000000 0.207343 
9.000000 0.154917 
10.000000 0.110743 
11.000000 0.143358 
12.000000 0.115475 
13.000000 0.140715 
14.000000 0.123606 
15.000000 0.036322 
16.000000 0.023894 
17.000000 0.065922 
18.000000 0.052279 
19.000000 0.048764 
20.000000 0.075815 
21.000000 0.104920 
22.000000 0.025596 
23.000000 0.035845 
24.000000 0.020964 
25.000000 0.090752 
26.000000 0.026655 
27.000000 0.050050 
28.000000 0.086920 
29.000000 0.010396 
30.000000 0.006901 
31.000000 0.074422 
32.000000 0.010257 
33.000000 0.011587 
34.000000 0.073267 
35.000000 0.007833 
36.000000 0.046734 
37.000000 0.014951 
38.000000 0.089576 
39.000000 0.044879 
40.000000 0.029755 
41.000000 0.028722 
42.000000 0.065825 
43.000000 0.059976 
44.000000 0.075874 
45.000000 0.065472 
46.000000 0.001345 
47.000000 0.074064 
48.000000 0.002258 
49.000000 0.069744 
